Name,Family,Series,# of CPU Cores,# of Threads,Base Clock,Max. Boost Clock,L3 Cache,Default TDP,CPU Socket,Graphics Model,Graphics Core Count,Launch Date,manufacturer
,Ryzen PRO,Ryzen AI Max PRO 300 Series,16,32,3 GHz,Up to 5.1 GHz,64 MB,55W,FP11,Radeon 8060S Graphics,40,,AMD
,Ryzen PRO,Ryzen AI Max PRO 300 Series,12,24,3.2 GHz,Up to 5 GHz,64 MB,55W,FP11,Radeon 8050S Graphics,32,,AMD
,Ryzen PRO,Ryzen AI Max PRO 300 Series,8,16,3.6 GHz,Up to 5 GHz,32 MB,55W,FP11,Radeon 8050S Graphics,32,,AMD
,Ryzen PRO,Ryzen AI Max PRO 300 Series,6,12,3.6 GHz,Up to 4.9 GHz,16 MB,55W,FP11,Radeon 8040S Graphics,16,,AMD
,Ryzen PRO,Ryzen AI PRO 300 Series,12,24,2 GHz,Up to 5.1 GHz,24 MB,28W,FP8,AMD Radeon™ 890M,16,,AMD
,Ryzen PRO,Ryzen AI PRO 300 Series,12,24,2 GHz,Up to 5.1 GHz,24 MB,28W,FP8,AMD Radeon™ 890M,16,,AMD
,Ryzen PRO,Ryzen AI PRO 300 Series,8,16,2 GHz,Up to 5 GHz,16 MB,28W,FP8,AMD Radeon™ 880M,12,,AMD
,Ryzen PRO,Ryzen AI PRO 300 Series,8,16,2 GHz,Up to 5 GHz,16 MB,28W,FP8,AMD Radeon™ 860M,8,,AMD
,Ryzen PRO,Ryzen AI PRO 300 Series,6,12,2 GHz,Up to 4.8 GHz,16 MB,28W,FP8,AMD Radeon™ 840M,4,,AMD
,Ryzen,Ryzen AI Max 300 Series,16,32,3 GHz,Up to 5.1 GHz,64 MB,55W,FP11,Radeon 8060S Graphics,40,,AMD
,Ryzen,Ryzen AI Max 300 Series,12,24,3.2 GHz,Up to 5 GHz,64 MB,55W,FP11,Radeon 8050S Graphics,32,,AMD
,Ryzen,Ryzen AI Max 300 Series,8,16,3.6 GHz,Up to 5 GHz,32 MB,55W,FP11,Radeon 8050S Graphics,32,,AMD
,Ryzen,Ryzen AI 300 Series,12,24,2 GHz,Up to 5.1 GHz,24 MB,28W,FP8,AMD Radeon™ 890M,16,,AMD
,Ryzen,Ryzen Z2,8,16,2 GHz,Up to 5 GHz,16 MB,28W,,AMD Radeon™ Graphics,16,,AMD
,Ryzen,Ryzen Z2,8,16,3.3 GHz,Up to 5.1 GHz,16 MB,28W,,AMD Radeon™ Graphics,12,,AMD
,Ryzen,Ryzen AI 300 Series,12,24,2 GHz,Up to 5.1 GHz,24 MB,28W,FP8,AMD Radeon™ 890M,16,,AMD
,Ryzen,Ryzen Z2,4,8,3 GHz,Up to 4.3 GHz,8 MB,28W,,AMD Radeon™ Graphics,12,,AMD
,Ryzen,Ryzen AI 300 Series,10,20,2 GHz,Up to 5 GHz,24 MB,28W,FP8,AMD Radeon™ 880M,12,,AMD
,Ryzen,Ryzen AI 300 Series,8,16,2 GHz,Up to 5 GHz,16 MB,28W,FP8,AMD Radeon™ 860M,8,,AMD
,Ryzen,Ryzen AI 300 Series,6,12,2 GHz,Up to 4.8 GHz,16 MB,28W,FP8,AMD Radeon™ 840M,4,,AMD
,Ryzen PRO,Ryzen PRO 200 Series,8,16,3.3 GHz,Up to 5.1 GHz,16 MB,28W,FP8,AMD Radeon™ 780M,12,,AMD
